fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
jennifer_l/pW7TbJJMVak_0.npy_0,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_1,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_2,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_3,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_4,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_5,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_6,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_7,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_8,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_9,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_10,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_11,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_12,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_13,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_14,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_15,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_16,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_17,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_18,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_19,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_20,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_21,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_22,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_23,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_24,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_25,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_26,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_27,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_28,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_29,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_30,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_31,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_32,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_33,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_34,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_35,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_36,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_37,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_38,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_39,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_40,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_41,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_42,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_43,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_44,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_45,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_46,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_47,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_48,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_49,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_50,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_51,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_52,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_53,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_54,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_55,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_56,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_57,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_58,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_59,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_60,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_61,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_62,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_63,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak_0.npy_64,jen_l,jen_l,real,jen_l
